ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
US55083R1041,BN6MB18,Lyell Immunopharma Inc.,USD,15090,0.006478,United States,2.09,Health Care,Biotechnology
BSP736841136,BJY21L2,OneSpaWorld Holdings Ltd.,USD,2460,0.006462,United States,12.79,Consumer Discretionary,Diversified Consumer Services
US43114Q1058,BN0VNB5,HighPeak Energy Inc,USD,1969,0.006455,United States,15.96,Energy,Oil Gas & Consumable Fuels
US75901B1070,BZ0G875,REGENXBIO Inc.,USD,1640,0.006451,United States,19.15,Health Care,Biotechnology
US35104E1001,BKLXFX5,4D Molecular Therapeutics Inc.,USD,1135,0.006444,United States,27.64,Health Care,Biotechnology
US26603R1068,BMCM6P4,Duolingo Inc. Class A,USD,145,0.006438,United States,216.18,Consumer Discretionary,Diversified Consumer Services
US3741631036,2370381,Geron Corporation,USD,9756,0.006432,United States,3.21,Health Care,Biotechnology
US69553P1003,BJ7JPH4,PagerDuty Inc.,USD,1413,0.006414,United States,22.1,Information Technology,Software
US02157E1064,BN0WQK8,AlTi Global Inc. Class A,USD,6040,0.006364,United States,5.13,Financials,Capital Markets
US12763L1052,BKVKB49,Cadre Holdings Inc.,USD,862,0.00636,United States,35.92,Industrials,Aerospace & Defense
US81948W1045,BJL95B4,Sharecare Inc. Class A,USD,45501,0.006355,United States,0.68,Health Care,Health Care Technology
US71944F1066,BKF9DQ8,Phreesia Inc.,USD,1388,0.006346,United States,22.26,Health Care,Health Care Technology
US00183L1026,BF4VWH4,Angi Inc Class A,USD,13320,0.006265,United States,2.29,Communication Services,Interactive Media & Services
US2300311063,BM90J52,Cullinan Oncology Inc.,USD,1801,0.00617,United States,16.68,Health Care,Biotechnology
US02217A1025,BPNXP05,Altus Power Inc. Class A,USD,6388,0.006167,United States,4.7,Utilities,Independent Power And Renewable Electricity Producers
US29337E1029,BMFD115,Enliven Therapeutics Inc.,USD,1604,0.006128,United States,18.6,Health Care,Pharmaceuticals
US70435P1021,BNLYJ59,Paycor HCM Inc.,USD,1632,0.006091,United States,18.17,Industrials,Professional Services
US29270J1007,B3B5J07,Energy Recovery Inc.,USD,1907,0.006075,United States,15.51,Industrials,Machinery
US0197701065,BFZNYB7,Allogene Therapeutics Inc.,USD,7295,0.006068,United States,4.05,Health Care,Biotechnology
US39813G1094,BLCHF11,Grid Dynamics Holdings Inc. Class A,USD,2534,0.006064,United States,11.65,Information Technology,It Services
US4923271013,BM7V485,Keros Therapeutics Inc.,USD,476,0.006033,United States,61.71,Health Care,Biotechnology
US92847W1036,BL6JSP8,Vital Farms Inc.,USD,1209,0.006024,United States,24.26,Consumer Staples,Food Products
US6541101050,BMBM6H7,Nikola Corporation,USD,30750,0.006,United States,0.95,Industrials,Machinery
US69366J2006,B17VCN9,PTC Therapeutics Inc.,USD,1050,0.006,United States,27.82,Health Care,Biotechnology
US0477263026,BRF2GD4,Atlanta Braves Holdings Inc Class C,USD,737,0.005993,United States,39.59,Communication Services,Entertainment
US6067102003,2597072,Mitek Systems Inc.,USD,2041,0.005974,United States,14.25,Information Technology,Software
US64157F1030,BS7K7C9,Nevro Corp.,USD,2201,0.005972,United States,13.21,Health Care,Health Care Equipment & Supplies
US6931491061,2669090,P.A.M. Transportation Services Inc.,USD,1861,0.005959,United States,15.59,Industrials,Ground Transportation
US0296831094,2029575,American Software Inc. Class A,USD,2612,0.005955,United States,11.1,Information Technology,Software
US75629V1044,BM9FJ13,Recursion Pharmaceuticals Inc. Class A,USD,3306,0.005928,United States,8.73,Health Care,Biotechnology
US28036F1057,BKY5JZ8,Edgewise Therapeutics Inc.,USD,1745,0.005921,United States,16.52,Health Care,Pharmaceuticals
US98956A1051,BN0TQF4,Zeta Global Holdings Corp. Class A,USD,2414,0.005915,United States,11.93,Information Technology,Software
US03770N1019,BM9HHL5,Apogee Therapeutics Inc.,USD,488,0.005914,United States,59,Health Care,Biotechnology
US98423F1093,BP7L5C7,Xometry Inc. Class A,USD,1648,0.005914,United States,17.47,Industrials,Trading Companies & Distributors
US53228F1012,BN0TRB7,Lifestance Health Group Inc.,USD,4789,0.005912,United States,6.01,Health Care,Health Care Providers & Services
US00165C3025,BN4G703,AMC Entertainment Holdings Inc. Class A,USD,9460,0.005829,United States,3,Communication Services,Entertainment
US6700024010,BJDQXG4,Novavax Inc.,USD,6392,0.005829,United States,4.44,Health Care,Biotechnology
US83303Y1055,BN72WV4,Snap One Holdings Corp.,USD,2971,0.005828,United States,9.55,Consumer Discretionary,Household Durables
US8666831057,BM8TFC9,Sun Country Airlines Holdings Inc.,USD,2009,0.005827,United States,14.12,Industrials,Airlines
US91688F1049,BGRFWV4,Upwork Inc.,USD,2369,0.005805,United States,11.93,Industrials,Professional Services
US98262P1012,BK71LY6,WW International Inc.,USD,17197,0.005793,United States,1.64,Consumer Discretionary,Diversified Consumer Services
US24869P1049,2250580,Denny's Corporation,USD,3318,0.005786,United States,8.49,Consumer Discretionary,Hotels Restaurants & Leisure
US87652V1098,BN44TB2,TaskUs Inc. Class A,USD,2520,0.005735,United States,11.08,Industrials,Professional Services
US93403J1060,BLGZN51,Warby Parker Inc. Class A,USD,2094,0.005682,United States,13.21,Consumer Discretionary,Specialty Retail
US85205L1070,BGMGM89,Springworks Therapeutics Inc.,USD,620,0.005669,United States,44.52,Health Care,Biotechnology
US52472M1018,BG5HXX1,Legacy Housing Corporation,USD,1318,0.005647,United States,20.86,Consumer Discretionary,Household Durables
US72703X1063,BM8JV32,Planet Labs PBC Class A,USD,13067,0.005583,United States,2.08,Industrials,Professional Services
US25402D1028,BNC23Q1,DigitalOcean Holdings Inc.,USD,738,0.005574,United States,36.77,Information Technology,It Services
US6707031075,BMVBZD3,Nuvalent Inc. Class A,USD,377,0.005568,United States,71.9,Health Care,Biotechnology
US5663301068,2564827,Marcus Corporation,USD,1951,0.005534,United States,13.81,Communication Services,Entertainment
US22266M1045,BNSNZL7,Coursera Inc,USD,1945,0.005453,United States,13.65,Consumer Discretionary,Diversified Consumer Services
US04206A1016,BYWPZY9,Arlo Technologies Inc.,USD,2262,0.00545,United States,11.73,Information Technology,Electronic Equipment Instruments & Components
US74766Q1013,BD1KGN4,Quanterix Corporation,USD,1217,0.005399,United States,21.6,Health Care,Life Sciences Tools & Services
US03753U1060,BYTQ6X1,Apellis Pharmaceuticals Inc.,USD,466,0.005365,United States,56.05,Health Care,Biotechnology
US3465631097,2398855,Forrester Research Inc.,USD,1281,0.005362,United States,20.38,Industrials,Professional Services
US34379V1035,BMXC0N9,Fluence Energy Inc. Class A,USD,1557,0.005341,United States,16.7,Industrials,Electrical Equipment
US89422G1076,BLFGJD5,Travere Therapeutics Inc.,USD,3734,0.00533,United States,6.95,Health Care,Biotechnology
US50012A1088,BQLSDK5,Kodiak Gas Services Inc.,USD,926,0.005312,United States,27.93,Energy,Energy Equipment & Services
US68373J1043,BMTD3M6,Open Lending Corporation,USD,4646,0.005277,United States,5.53,Financials,Capital Markets
US0464331083,2060518,Astronics Corporation,USD,1440,0.005235,United States,17.7,Industrials,Aerospace & Defense
US9871841089,2425292,York Water Company,USD,720,0.005191,United States,35.1,Utilities,Water Utilities
VGG312491084,BYVR2D4,Establishment Labs Holdings Inc.,USD,479,0.005185,United States,52.7,Health Care,Health Care Equipment & Supplies
US8790801091,2880448,Tejon Ranch Co.,USD,1654,0.005147,United States,15.15,Real Estate,Real Estate Management & Development
US01625V1044,BNNLSZ1,Alignment Healthcare Inc.,USD,5310,0.005126,United States,4.7,Health Care,Health Care Providers & Services
US5770961002,BN75T01,Matterport Inc. Class A,USD,12019,0.005085,United States,2.06,Information Technology,Software
US64082B1026,BMTW8S4,NerdWallet Inc. Class A,USD,1784,0.005057,United States,13.8,Financials,Consumer Finance
US76665T1025,BNW2543,Riley Exploration Permian Inc,USD,891,0.005051,United States,27.6,Energy,Oil Gas & Consumable Fuels
US75943R1023,BN2R582,Relay Therapeutics Inc.,USD,3515,0.005025,United States,6.96,Health Care,Biotechnology
US92346J1088,BSBMN89,Vericel Corporation,USD,482,0.004992,United States,50.42,Health Care,Biotechnology
US02215L2097,BLPNQJ1,Kinetik Holdings Inc. Class A,USD,617,0.004988,United States,39.36,Energy,Oil Gas & Consumable Fuels
US10258P1021,BPG5F19,Bowlero Corp. Class A,USD,1835,0.004968,United States,13.18,Consumer Discretionary,Hotels Restaurants & Leisure
